x,y
18.11243396,61.46914543
34.3977744,58.2747422
18.74594142,55.92311786
26.77849209,46.14497725
31.27541413,62.26655074
26.83569043,69.0318752
27.1499332,54.08111041
26.93778461,45.20634463
23.57808853,47.37010109
29.10567015,51.76808203
30.59408198,34.81267251
27.44425344,51.59730319
31.14543403,48.46984749
26.29929146,48.65085875
45.66843883,45.3676125
26.77424244,54.13229411
36.15626888,46.88048746
29.55073238,54.67682546
28.03874146,51.99053356
41.2969825,48.41215203
29.63984513,56.48418782
33.10035328,52.90712256
28.56957889,61.71899006
34.00586609,48.43409294
31.34719021,53.17062934
32.31721263,62.43640212
28.4011107,61.10303333
37.05323937,50.03912782
35.85330876,49.17083829
37.15375121,47.21856104
25.46651118,45.62774889
27.86323817,40.27907511
27.65221819,61.04583358
30.13453352,58.01900724
28.46263793,59.16370626
27.08325667,51.60366003
28.89879791,63.57170762
39.88330225,57.62574636
35.72931263,50.96048361
35.55645199,44.81581848
30.3032506,54.72675533
17.0865918,44.81458018
23.01455499,53.34995329
26.40140397,49.43262622
31.94247725,56.40310457
24.38580877,52.94922194
28.93411943,56.5354177
32.1655899,58.76022071
24.28021817,47.64964354
26.50428531,52.26932022
27.5410012,47.65200756
27.29470236,48.35469613
29.50966141,43.25466462
29.68737327,47.31580553
27.0446574,59.13775814
26.69223388,50.09701752
27.62704757,53.38188547
24.83878684,45.50542506
25.06772213,53.71681256
30.81633023,55.05526243
30.40469538,57.39097624
36.63702761,54.83466529
34.0933792,46.86069484
35.54294398,49.95909038
37.43398742,58.76019168
30.25062267,57.3859173
29.75355193,51.78194673
32.80602542,54.65395969
28.19927791,60.12082599
24.96018639,55.45873363
29.15736434,53.06220622
26.77215919,53.39555073
25.87656884,54.95843579
28.97897969,53.15901201
33.86228688,62.97948467
25.60525691,50.28985809
34.83918751,53.09201179
37.85957375,48.78165309
20.07366896,43.43449064
30.42190482,46.72378922
32.81408959,48.88098668
37.76525555,49.39129359
22.90128626,60.66124634
26.62095022,52.87091141
38.81393405,53.26739329
24.60855603,43.50053334
33.50136054,52.16549426
32.80954268,54.34065912
23.39511638,54.76100549
33.65089368,51.28761098
40.56030871,55.19298736
34.52179387,60.27173104
23.67061256,52.124105
19.51857723,57.57479588
30.51388375,48.52040715
31.41983056,52.44556336
24.54608682,48.40222039
28.97658761,58.89939459
35.26726715,62.32136141
32.9829597,63.0975237
28.7601374,50.15724546
22.94836742,45.0127482
29.84099752,58.25105978
32.20213343,59.52998461
42.85212477,52.83475853
24.85248895,44.66142219
26.20384138,62.39675863
34.06102119,57.89149359
21.98173918,65.66799966
25.74369548,47.05606486
23.60151326,61.01900369
30.84187777,58.25581749
37.46146404,55.37018219
37.49726023,36.9362498
23.57751711,56.05368998
30.23713975,53.39987538
29.32061276,49.44237715
25.62058064,51.32259034
27.54850261,48.44190226
27.33574791,58.80671488
27.33089175,47.94380924
30.20096777,58.84581925
36.64858222,51.59498039
18.70815524,58.82339959
25.75612512,50.65345428
33.43783951,64.75923785
32.84906418,60.01650417
30.46876699,53.26593891
31.86921246,57.17826004
32.55587511,49.53143826
31.04197864,57.54029351
27.1535284,50.21122288
23.27756805,50.13316381
28.64721639,52.53536466
23.29139887,58.35250865
28.16987804,55.44854992
35.41732148,48.98765376
22.1515415,53.4925518
32.3992239,54.15560212
33.93420838,57.86451267
33.11305577,48.40658087
25.26287156,54.83381771
23.22074528,58.58393036
37.25103018,50.39520967
25.48921353,49.9130351
33.67800403,52.3813674
33.8150257,61.43165469
27.6330707,51.31510121
39.72742512,61.03142464
27.57741379,41.11315176
33.11537992,54.5608532
38.54812502,47.30715066
25.70683609,67.22981394
27.49774082,51.85071596
31.89105186,48.07796485
27.41789409,44.40259985
33.91946324,56.09216992
26.15621823,44.89257464
22.09739252,56.27147774
20.45269561,50.45407723
32.73755084,47.09165603
45.13091714,56.32058143
34.96198086,42.56959674
31.51727352,66.14088934
35.56769696,54.58930412
24.77695869,45.69512575
27.7756048,56.19299134
22.18266063,57.47513245
31.38820266,51.38984354
31.4665032,52.07032756
39.45200612,47.63176887
27.66924327,54.28406485
27.36160138,50.97164579
24.52120043,55.6317971
26.58620438,57.97293265
31.25148357,57.2410761
29.39760387,52.28072782
30.49083447,53.12459449
22.18387327,57.64933668
29.12891563,51.3357741
22.66779563,53.70754968
34.88656302,58.20426245
29.48688897,56.05533948
36.23669896,50.77272755
31.08209342,55.3352868
27.7035233,59.44976396
29.53285295,49.64014423
36.25974371,63.75661318
24.1068951,59.0884562
28.85492875,59.09056264
29.69799909,56.82982395
36.06035334,58.83518674
28.51779226,44.92024775
20.02423314,45.9471608
26.66806906,49.26191834
31.32001908,42.28194607
