,x,y,distance_from_1,distance_from_2,distance_from_3,closest,color
0,20.721224726585046,42.7989526389175,42.31526978947167,22.01641173532644,31.08084938986283,2,[0.50392157 0.99998103 0.70492555 1.        ]
1,22.332933020427866,49.72435491817925,38.349962709371034,24.61961743319719,33.71580676735415,2,[0.50392157 0.99998103 0.70492555 1.        ]
2,22.93387130485283,52.47771193735569,37.07456499280454,26.151116597388096,35.13856458969164,2,[0.50392157 0.99998103 0.70492555 1.        ]
3,24.852413031042612,52.70953761868275,35.15243280117169,25.085520088870684,33.96999697848539,2,[0.50392157 0.99998103 0.70492555 1.        ]
4,18.618404639118364,50.40032861321997,41.75457246108766,27.886996762968817,37.025418596906015,2,[0.50392157 0.99998103 0.70492555 1.        ]
5,17.700647111778167,53.12789848095567,42.07550249647298,30.34048032013229,39.45033454966062,2,[0.50392157 0.99998103 0.70492555 1.        ]
6,22.42199392786798,42.76532782330364,40.79347477250361,20.48792827104333,29.585933016948317,2,[0.50392157 0.99998103 0.70492555 1.        ]
7,19.616407052430862,48.620378127757576,41.269116993874945,26.011093765438016,35.157215854339576,2,[0.50392157 0.99998103 0.70492555 1.        ]
8,24.746345987749017,43.57178481267089,38.351635224307486,18.90706929169192,28.052168573996546,2,[0.50392157 0.99998103 0.70492555 1.        ]
9,25.232164946902923,58.815142464496944,33.92095108219188,29.907606300036075,38.44691898103554,2,[0.50392157 0.99998103 0.70492555 1.        ]
10,52.31837758199522,56.71411400323738,7.825709091675617,26.42828559887414,29.255467721091513,1,[0.5 0.  1.  1. ]
11,58.58566250902433,58.869791319213135,1.8158803037260227,31.5063108646611,32.854727162702986,1,[0.5 0.  1.  1. ]
12,60.14584165428772,59.27412731090699,1.6928259938310513,32.75048673629974,33.769696242810916,1,[0.5 0.  1.  1. ]
13,65.02280575511287,56.65282516248294,7.118251589203119,34.026204051279514,33.54198248762933,1,[0.5 0.  1.  1. ]
14,53.86196829446065,56.84341905059222,6.456024751790673,27.267446526300837,29.652787681074102,1,[0.5 0.  1.  1. ]
15,55.78918648867954,58.56113692987137,3.898084988738222,29.72168182167578,31.758548442563068,1,[0.5 0.  1.  1. ]
