,x,y,distance_from_1,distance_from_2,distance_from_3,closest,color
0,27.0000593818812,25.16501260328399,28.006898123726213,23.921772879325136,2.6679276462391734,3,[0.50392157 0.99998103 0.70492555 1.        ]
1,24.149811589814973,20.22211345348429,32.411537521616744,28.86159421157329,6.922419401626882,3,[0.50392157 0.99998103 0.70492555 1.        ]
2,16.21144212667599,17.53480605202492,40.765185968458894,32.88449617627744,13.063132975053593,3,[0.50392157 0.99998103 0.70492555 1.        ]
3,18.36260337516383,26.334224873537437,36.110168545358846,23.84169096417267,6.813856047896143,3,[0.50392157 0.99998103 0.70492555 1.        ]
4,29.474626464533912,23.38698046401736,26.27162992553875,25.948461469260405,5.693448775201209,3,[0.50392157 0.99998103 0.70492555 1.        ]
5,42.329291239019454,35.10843338800933,11.590967930456596,21.764394518900822,18.977786775986075,1,[0.5 0.  1.  1. ]
6,20.178304968167907,32.270007931578625,33.62439090534181,17.63503499886372,7.1819371640097645,3,[0.50392157 0.99998103 0.70492555 1.        ]
7,32.04337901485975,31.124308708582625,21.85530866584473,19.04076089899417,8.007187316097685,3,[0.50392157 0.99998103 0.70492555 1.        ]
8,26.957142121617018,28.581514340309916,27.248108271684416,20.50911447831727,2.3640567237946124,3,[0.50392157 0.99998103 0.70492555 1.        ]
9,26.91947273533567,39.51314520242857,27.5647687096847,9.62245755650965,12.566422506856918,2,[0.00196078 0.70928131 0.92328911 1.        ]
10,19.42745436487243,32.30121811174126,34.37390266617385,17.85144444344091,7.740451017418522,3,[0.50392157 0.99998103 0.70492555 1.        ]
11,29.646743166139487,25.09254891525275,25.51072538290155,24.291191773994065,4.926540619293281,3,[0.50392157 0.99998103 0.70492555 1.        ]
12,27.197153566162903,19.461380166598687,29.995336936717262,29.6275425833399,7.886569254114334,3,[0.50392157 0.99998103 0.70492555 1.        ]
13,25.986936341462147,26.644579427432245,28.594881314701194,22.40510105694208,0.9529311294288857,3,[0.50392157 0.99998103 0.70492555 1.        ]
14,30.58177713682986,40.023019178067145,24.145287984401754,10.300878327261465,14.047567129700777,2,[0.00196078 0.70928131 0.92328911 1.        ]
15,15.292492096943445,39.70254926880557,39.014308051249266,13.922433431536486,16.01191125496814,2,[0.00196078 0.70928131 0.92328911 1.        ]
16,27.27665927665995,30.240368518174925,26.69011158456936,18.87959771474259,3.822059016580912,3,[0.50392157 0.99998103 0.70492555 1.        ]
17,27.79217152186123,30.44948685867737,26.154185728979098,18.724262222877293,4.29520964063606,3,[0.50392157 0.99998103 0.70492555 1.        ]
18,29.036636008494973,14.08723397426249,31.3592617120645,35.12652609712074,13.559752144230186,3,[0.50392157 0.99998103 0.70492555 1.        ]
